High School Name, Code, State ,
A H PARKER HIGH SCHOOL,10395,AL,
ABBEVILLE CHRISTIAN ACADEMY,10001,AL,
ABBEVILLE HIGH SCHOOL,10000,AL,
ABUNDANT LIFE SCHOOL,12001,AL,
ACCESS DISTANCE LEARNING,11919,AL,
ACTS ACADEMY,12751,AL,
ADDISON HIGH SCHOOL,10010,AL,
AKRON COMMUNITY SCHOOL EAST,10017,AL,
AL-IMAN ACADEMY OF MOBILE,11794,AL,
ALABAMA CHRISTIAN ACADEMY,11869,AL,
ALABAMA GULF COAST CHRISTIAN ACADEMY,11141,AL,
ALABAMA SCHOOL FOR THE BLIND,12579,AL,
ALABAMA SCHOOL FOR THE DEAF,12581,AL,
ALABAMA SCHOOL OF FINE ARTS,10326,AL,
ALABAMA SCHOOL OF MATHEMATICS AND SCIENCE,11793,AL,
ALABAMA YOUTH SERVICE CHALKVILLE CAMPUS,10418,AL,
ALBERT P BREWER HIGH SCHOOL,12510,AL,
ALBERTVILLE HIGH SCHOOL,10025,AL,
ALEXANDRIA HIGH SCHOOL,10055,AL,
ALICEVILLE HIGH SCHOOL,10060,AL,
ALMA BRYANT HIGH SCHOOL,10251,AL,
ALPHA & OMEGA CHRISTIAN SCHOOL,11792,AL,
ALTAMONT SCHOOL,10335,AL,
AMELIA L JOHNSON HIGH SCHOOL,12625,AL,
AMERICAN CHRISTIAN ACADEMY,12679,AL,
ANDALUSIA HIGH SCHOOL,10080,AL,
ANNISTON HIGH SCHOOL,10110,AL,
ANTAUGA ACADEMY,12218,AL,
APPALACHIAN HIGH SCHOOL,12038,AL,
ARAB CHRISTIAN ACADEMY,10129,AL,
ARAB HIGH SCHOOL,10130,AL,
ARDMORE HIGH SCHOOL,10132,AL,
ARITON HIGH SCHOOL,10135,AL,
ARNOLD SCHOOL,11796,AL,
ASBURY ACADEMY,12182,AL,
ASBURY HIGH SCHOOL,10027,AL,
ASHFORD ACADEMY,10143,AL,
ASHFORD HIGH SCHOOL,10150,AL,
ASHVILLE HIGH SCHOOL,10165,AL,
ATHENS BIBLE SCHOOL,10170,AL,
ATHENS HIGH SCHOOL,10175,AL,
ATMORE CHRISTIAN SCHOOL,10199,AL,
AUBURN HIGH SCHOOL,10220,AL,
AUSTIN HIGH SCHOOL,10856,AL,
AUTAUGAVILLE HIGH SCHOOL,10235,AL,
B B COMER MEMORIAL SCHOOL,12560,AL,
BAKER HIGH SCHOOL,12525,AL,
BALDWIN COUNTY HIGH SCHOOL,10245,AL,
BALLARD CHRISTIAN SCHOOL,12051,AL,
BARBOUR COUNTY HIGH SCHOOL,10690,AL,
BAYSHORE CHRISTIAN SCHOOL,11042,AL,
BAYSIDE ACADEMY,10841,AL,
BEAUREGARD HIGH SCHOOL,12050,AL,
BELGREEN HIGH SCHOOL,12343,AL,
BEN C RAIN HIGH SCHOOL,11798,AL,
BENJAMIN RUSSELL HIGH SCHOOL,10035,AL,
BEREAN BAPTIST CHRISTIAN SCHOOL,10349,AL,
BERRY HIGH SCHOOL,10300,AL,
BESSEMER ACADEMY,10306,AL,
BESSEMER CITY HIGH SCHOOL,10311,AL,
BETH HAVEN CHRISTIAN ACADEMY,10784,AL,
BETHEL BAPTIST SCHOOL,11389,AL,
BETHEL CHURCH SCHOOL,12428,AL,
BETHLEHEM BAPTIST CHURCH SCHOOL,11503,AL,
BETTER LIFE HOME SCHOOL & ACADEMY,12454,AL,
BEULAH HIGH SCHOOL,10445,AL,
BIBB COUNTY HIGH SCHOOL,10630,AL,
BIBLE METHODIST CHRISTIAN SCHOOL,12114,AL,
BIBLE MISSIONARY ACADEMY,12204,AL,
