High School	 StreetAddress	 City	 State	 Zip		
C.I.T.Y. Program of Madison County	104 Spacegate Dr.	Hunstville	 Alabama 35806			
CALHOUN HIGH SCHOOL	8213 COUNTY ROAD 33	LETOHATCHEE	 AL 36047			
Carbon Hill High School	530 5th Ave NW	Carbon Hill	 AL 35549			
CARROLL HIGH SCHOOL						
CARVER SENIOR HIGH SCHOOL	2001 W. Fairview Avenue	Montgomery	 AL 36108			
Cedar Bluff High School	3655 Old Hwy 9	Cedar Bluff	 AL 35959			
CENTRAL HIGH EAST CAMPUS	1715 Martin Luther King Jr Blv	TUSCALOOSA	 AL 35401			
Central High School	2400 Dobbs Dr	Phenix City	 AL 36870			
Central High School Rockford AL	RT 2 BOX 62	ROCKFORD	 AL 35136			
Central High School West Campus	1715 Martin Luther King	 Jr.	 Blvd	Tuscaloosa	 Alabama 35406	
CHARLES HENDERSON HIGH SCHOOL	150 S George Wallace Drive 	Troy	 Alabama 36081			
CHELSEA HIGH SCHOOL	10510 Hwy 11	P.O.	 Box 639			
Cherokee County High School	910 Warrior Dr	Centre	 AL 35960			
CHEROKEE HIGH SCHOOL	850 High School Drive	Cherokee	 AL 35616			
Childersburg High School	122 Faye S. Perry Dr.	Childersburg	 AL 35044-1703			
Chilton County High School	1214 7TH ST S	CLANTON	 AL 35045			
Choctaw County High Schoool	277 Tom Orr Drive	Butler	 AL 36904			
Citronelle High School	19325 Rowe Street	Citronelle	 AL 36522			
City High School	4308 42ND STREET N	BIRMINGHAM	 AL 35217			
Clark County High School	151 South Church Street	Grove Hill	 AL 36451			
Clay Chalkville High School	6623 Roe Chandler Road	Pinson	 AL. 35126			
Clay County High School	220 3RD ST SW	ASHLAND	 AL 36251			
Cleveland High School	71 High School St	Cleveland	 AL 35049-3691			
Coffee High School	648 N CHERRY ST	FLORENCE	 AL 35630			
Coffeeville High School	22974 HIGHWAY 69	Coffeeville	 AL 36524			
Colbert County High School	2200 High School Street	Leighton	 AL 35646			
Colbert Heights High School	6825 Woodmont Drive	Tuscumbia	 Alabama 35674			
Cold Springs High School	9010 County Road	109 Bremen	 Al 35033			
Columbia High School	300 Explorer Boulevard	Huntsville	 AL 35806			
Continuous Learning Center	1870 Pleasant Avenue	Mobile	 AL 36617			
Cordova High School	#1 Blue Devil Way	Cordova	 Alabama 35550			
Courtland High School	4065 Jefferson Street	COURTLAND	 AL 35618			
Cullman Child Development Center	17600 Us Highway 31 N	Cullman	 AL 35058			
Curry High School	155 Yellow Jacket Dr	Jasper	 AL 35503			
Dadeville High School	227 Weldon St	Dadeville	 AL 36853			
Dale County School	11740 County Road 59 	Midland City 	 Alabama 36350			
Daleville High School	626 North Daleville Avenue	Daleville	 AL 36322			
Dallas County High School	Fifth Avenue	Plantersville	 Alabama 36758			
Danville High School	9235 DANVILLE RD	DANVILLE	 AL 35619			
Daphne High School	9300 East Lawson Road	Daphne	 Alabama 36532			
Davidson High School	3900 Pleasant Valley Road	Mobile	 AL 36609			
Day Spring Academy High School						
Decatur High School	1011 Prospect Drive SE	Decatur	 AL 35601			
Dekalb Vocational School	409 MAIN ST E	RAINSVILLE	 AL 35986			
Demopolis High School	701 Highway 80 West	DEMOPOLIS	 AL 36732			
Deshler High School	303 North Commons Street East	Tuscumbia	 AL 35674			
Dora High School	330 GLENN C GANT	DRDORA	 AL 35062			
Dothan High School	1236 S Oates St	Dothan	 AL 36301			
Douglas High School	P.O. Box 300 225 Eagle Drive 	Douglas	 AL 35964			
Dunbar Ramer School	56 NAFTEL-RAMER RD	RAMER	 AL 36069			
Fairfield High Preparatory School	610 Valley Road	Fairfield	 AL 35064			
Fairhope High School	1 Pirate Drive	Fairhope	 Alabama 36532			
Fairview High School	841 Welcome Rd	Cullman	 Alabama 35058			
Falkville High School	P.O. Box 388	Falkville	 Al 35622			
Family Court High School	120 2ND COURT N	BIRMINGHAM	 AL 35204			
Faulkner Vocational School	33 Elm Street	Prichard	 AL 36610			
Fayette County High School	202 Tiger Drive	Fayette	 Alabama 35555			
Fews Secondary Alternative	321 EARLY ST	MONTGOMERY	 AL 36104			
Fletcher E. Seldon Educational Progress Center	2820 Holmes Ave	Huntsville	 AL 35816			
Florala High School	22114 Begonia St	Florala	 AL 36442			
Foley High School	1 Pride Place	Foley	 AL 36535-1100			
Fort Dale Academy	1100 Gamble Street	Greenville	 AL 36037			
Fort Payne High School	201 45TH ST NE	FORT PAYNE	 AL 35967			
Franklin County Vocational School	85 JAIL SPRINGS ROAD	RUSSELLVILLE	 AL 35653			
Frisco City High School	200 SCHOOL ST	FRISCO CITY	 AL 36445			
Fultondale High School	1450 Carson Road North	Birmingham	 AL 35217			
Gadsden City High School	1917 Black Creek Parkway	Gadsden	 AL 35904			
Gardendale High School	800 Main Street	Gardendale	 AL 35071			
Gaylesville School	760 Trojan Way	Gaylesville	 AL 35973			
Geneva County High School	301 Lily Street	Hartford	 AL 36344			
Geneva High School	505 Panther Dr	Geneva	 AL 36340			
GEORGE H BRYANT VOCATIONAL-AGRICULTURAL CENTER	8950 PADGETT SWITCH RD	IRVINGTON	 AL 36544			
George W. Long High School	2565 CO RD 60	SKIPPERVILLE	 AL 36374			
George Washington Carver High School	3900 24th St N	Birmingham	 AL 35207			
Glencoe High School	803 Lonesome Bend Road	Glencoe.	 AL 35905			
Good Hope High School	210 Good Hope School Road	Cullman	 AL 35057			
Gordo High School	630 4th St NW	Gordo	 Al 35466			
Greene County High School	623 MESOPOTAMIA AVENUE	EUTAW	 AL 35462			
Greenville High School	100 Tiger Drive	Greenville	 AL 36037			
Gulf Shores High School	P.O. Box 3729	600 East 15th Avenue				
Guntersville High School	14227 Highway 431	Guntersville	 AL 35976			
Hale County High	P.O. Drawer 188 - 50 Wildcat Way	Moundville	 AL 35474			
Haleyville High School	2001 20th St	Haleyville	 AL 35565			
Hanceville High School	801 Commercial St. SE	Hanceville	 AL 35077			
Handley High School	100 Tiger Circle	 P.O. Box 1393	ROANOKE	 AL 36274		
Hartselle High School	904 SPARKMAN ST	HARTSELLE	 AL 35640			
Hatton High School	6909 AL HIGHWAY 101	TOWN CREEK	 AL 35672			
