High School,Address, City, State, Zip
Adrian High School,305 Owyhee,Adrian, OR,97901
Aloha High School,18550 SW Kinnaman Rd,Beaverton, OR,97007
Alpha High School,876 NE 8th St,Gresham, OR,97030
Alsea High School,301 S 3rd,Alsea, OR,97324
Amity High School,503 Oak Ave,Amity, OR,97101
Arlington High School,1200 Main St,Arlington, OR,97812
Ashland High School,201 S Mountain Ave,Ashland, OR,97520
Astoria High School,1001 W Marine Dr,Astoria, OR,97103
Baker High School,2500 E St,Baker City, OR,97814
Bandon High School,550 9th St SW,Bandon, OR,97411
Banks High School,450 S Main St,Banks, OR,97106
Beaverton High School,13000 SW Second St,Beaverton, OR,97005
Bend High School,230 NE 6th St,Bend, OR,97701
Benson Polytechnic High School,546 NE 12th Ave,Portland, OR,97232
Biztech High School,3905 SE 91st Ave,Portland, OR,97266
Brookings Harbor High School,625 Pioneer Rd,Brookings, OR,97415
Burns High School,1100 Oregon Ave,Burns, OR,97720
Canby High School,721 SW 4th Ave,Canby, OR,97013
Career Tech High School,801 SW Highway 101 Suite 404,Lincoln City, OR,97367
Cascade Christian High School,525 East E,Jacksonville, OR,97530
Cascade High School,10226 Marion Rd SE,Turner, OR,97392
Centennial High School,3505 SE 182nd Ave,Gresham, OR,97030
Central Catholic High School,2401 SE Stark Street,Portland, OR,97214
Central High School,1530 Monmouth St,Independence, OR,97351
Central Linn High School,32433 Hwy 228,Halsey, OR,97348
Century High School,2000 SE Century Blvd,Hillsboro, OR,97123
Chiloquin High School,300 Elm St.,Chiloquin, OR,97624
Churchill High School,1850 Bailey Hill Road,Eugene, OR,97405
Clackamas High School,14486 SE 122nd Ave,Clackamas, OR,97015
Clatskanie High School,471 SW Belair Dr,Clatskanie, OR,97016
Cleveland High School,3400 SE 26th Ave,Portland, OR,97202
Colton High School,30205 S Wall St,Colton, OR,97017
Condon High School,210 E. Bayard St.,Condon, OR,97823
Coquille High School,499 W. Central,Coquille, OR,97423
Corbett High School,35800 E Historic Columbia River Hwy,Corbett, OR,97019
Corvallis High School,836 NW 11th St.,Corvallis, OR,97330
Cottage Grove High School,1375 S River Rd,Cottage Grove, OR,97424
