High School Name,Code,State
ADDISON HIGH SCHOOL,10010,AL
ALBERTVILLE HIGH SCHOOL,10025,AL
ARAB HIGH SCHOOL,10130,AL
ARDMORE HIGH SCHOOL,10132,AL
BALDWIN COUNTY HIGH SCHOOL,10245,AL
J F SHIELDS HIGH SCHOOL,10275,AL
BESSEMER CITY HIGH SCHOOL,10311,AL
ALABAMA SCHOOL OF FINE ARTS,10326,AL
HOOVER HIGH SCHOOL,10328,AL
ALTAMONT SCHOOL,10335,AL
RAMSAY HIGH SCHOOL,10355,AL
SPAIN PARK HIGH SCHOOL,10381,AL
OAK MOUNTAIN HIGH SCHOOL,10408,AL
WENONAH HIGH SCHOOL,10425,AL
WOODLAWN HIGH SCHOOL - MAGNET,10440,AL
BOAZ HIGH SCHOOL,10465,AL
WILCOX CENTRAL HIGH SCHOOL,10570,AL
CHELSEA HIGH SCHOOL,10648,AL
CLAY-CHALKVILLE HIGH SCHOOL,10689,AL
BARBOUR COUNTY HIGH SCHOOL,10690,AL
CLEVELAND HIGH SCHOOL,10695,AL
SHELBY COUNTY HIGH SCHOOL,10750,AL
GOOD HOPE HIGH SCHOOL,10802,AL
WEST POINT HIGH SCHOOL,10810,AL
DALEVILLE HIGH SCHOOL,10828,AL
DAPHNE HIGH SCHOOL,10844,AL
DOTHAN HIGH SCHOOL,10910,AL
HOUSTON ACADEMY,10912,AL
WINSTON COUNTY HIGH SCHOOL,10920,AL
HOLY FAMILY HIGH SCHOOL,10970,AL
ENTERPRISE HIGH SCHOOL,10980,AL
EUFAULA HIGH SCHOOL,10995,AL
HILLCREST HIGH SCHOOL,11030,AL
FAIRFIELD HIGH PREPARATORY SCHOOL,11055,AL
FAYETTE COUNTY HIGH SCHOOL,11075,AL
FLORENCE HIGH SCHOOL,11126,AL
FOLEY HIGH SCHOOL,11140,AL
GAYLESVILLE HIGH SCHOOL,11210,AL
CLEBURNE COUNTY HIGH SCHOOL,11430,AL
JEFFERSON COUNTY INTERNATIONAL BACCALAUREATE SCHOO,11459,AL
HUEYTOWN HIGH SCHOOL,11463,AL
HOMEWOOD HIGH SCHOOL,11464,AL
S R BUTLER HIGH SCHOOL,11465,AL
VIRGIL I GRISSOM HIGH SCHOOL,11466,AL
POPE JOHN PAUL II CATHOLIC HIGH SCHOOL,11483,AL
NEW CENTURY TECHNOLOGY HIGH SCHOOL,11494,AL
JACKSONVILLE HIGH SCHOOL,11530,AL
PLEASANT VALLEY HIGH SCHOOL,11534,AL
LOACHAPOKA HIGH SCHOOL,11671,AL
BOB JONES HIGH SCHOOL,11697,AL
ALABAMA SCHOOL OF MATHEMATICS AND SCIENCE,11793,AL
BEN C RAIN HIGH SCHOOL,11798,AL
MURPHY HIGH SCHOOL,11830,AL
SAINT PAULS EPISCOPAL SCHOOL,11833,AL
LILLIE B WILLIAMSON HIGH SCHOOL,11838,AL
BOOKER T WASHINGTON MAGNET HIGH SCHOOL,11874,AL
JEFFERSON DAVIS HIGH SCHOOL,11892,AL
LOVELESS ACADEMIC MAGNET PROGRAM HIGH SCHOOL,11896,AL
SAINT JAMES SCHOOL,11904,AL
LANIER SENIOR HIGH SCHOOL,11910,AL
LAWRENCE COUNTY HIGH SCHOOL,11930,AL
BUCKHORN HIGH SCHOOL,11980,AL
BEAUREGARD HIGH SCHOOL,12050,AL
KEITH MIDDLE-HIGH SCHOOL,12075,AL
OXFORD HIGH SCHOOL,12085,AL
WHITE PLAINS HIGH SCHOOL,12090,AL
CARROLL HIGH SCHOOL,12093,AL
PELHAM HIGH SCHOOL,12111,AL
CENTRAL HIGH SCHOOL,12135,AL
PINSON VALLEY HIGH SCHOOL,12183,AL
DALLAS COUNTY HIGH SCHOOL,12200,AL
PLEASANT GROVE HIGH SCHOOL,12207,AL
MATTIE T BLOUNT HIGH SCHOOL,12233,AL
RUSSELLVILLE HIGH SCHOOL,12352,AL
RUSSELL COUNTY HIGH SCHOOL,12400,AL
SELMA HIGH SCHOOL,12430,AL
MARY G MONTGOMERY HIGH SCHOOL,12450,AL
BAKER HIGH SCHOOL,12525,AL
NORTH JACKSON HIGH SCHOOL,12535,AL
SUMITON CHRISTIAN SCHOOL,12547,AL
SYLACAUGA HIGH SCHOOL,12570,AL
ALABAMA SCHOOL FOR THE DEAF,12581,AL
TALLADEGA COUNTY CENTRAL HIGH SCHOOL,12583,AL
TALLADEGA HIGH SCHOOL,12585,AL
TALLASSEE HIGH SCHOOL,12600,AL
THEODORE HIGH SCHOOL,12615,AL
THORSBY HIGH SCHOOL,12643,AL
SPARKMAN HIGH SCHOOL,12648,AL
HATTON HIGH SCHOOL,12650,AL
NORTHRIDGE HIGH SCHOOL,12686,AL
CENTRAL HIGH SCHOOL,12690,AL
HOLY SPIRIT CATHOLIC HIGH SCHOOL,12691,AL
DESHLER HIGH SCHOOL,12695,AL
VESTAVIA HILLS HIGH SCHOOL,12768,AL
WOODLAND HIGH SCHOOL,12845,AL
WEST ANCHORAGE HIGH SCHOOL,20000,AK
BARTLETT HIGH SCHOOL,20001,AK
EAST ANCHORAGE HIGH SCHOOL,20002,AK
A J DIMOND HIGH SCHOOL,20003,AK
ROBERT SERVICE HIGH SCHOOL,20004,AK
BETHEL REGIONAL HIGH SCHOOL,20005,AK
STELLER SECONDARY SCHOOL,20007,AK
BARROW HIGH SCHOOL,20011,AK
ANCHORAGE CHRISTIAN SCHOOLS,20012,AK
CORDOVA JUNIOR SENIOR HIGH SCHOOL,20015,AK
KENNY LAKE SCHOOL,20016,AK
DELTA HIGH SCHOOL,20023,AK
DILLINGHAM HIGH SCHOOL,20025,AK
WEST VALLEY HIGH SCHOOL,20028,AK
NORTH POLE HIGH SCHOOL,20029,AK
CHUGIAK HIGH SCHOOL,20031,AK
BEN EIELSON HIGH SCHOOL,20033,AK
HOWARD LUKE ACADEMY,20034,AK
AUSTIN E LATHROP HIGH SCHOOL,20035,AK
MONROE CATHOLIC JUNIOR SENIOR HIGH SCHOOL,20037,AK
GLENNALLEN SCHOOL,20039,AK
HAINES HIGH SCHOOL,20040,AK
TRI-VALLEY SCHOOL,20041,AK
HOMER HIGH SCHOOL,20045,AK
JUNEAU-DOUGLAS HIGH SCHOOL,20055,AK
KENAI CENTRAL HIGH SCHOOL,20060,AK
KETCHIKAN HIGH SCHOOL,20065,AK
KLAWOCK HIGH SCHOOL,20070,AK
KODIAK HIGH SCHOOL,20075,AK
METLAKATLA HIGH SCHOOL,20083,AK
MOUNT EDGECUMBE HIGH SCHOOL,20085,AK
BRISTOL BAY BOROUGH HIGH SCHOOL,20088,AK
BENNY BENSON SECONDARY SCHOOL,20091,AK
CANTWELL SCHOOL,20093,AK
NINILCHIK HIGH SCHOOL,20098,AK
NOME BELTZ HIGH SCHOOL,20100,AK
PALMER HIGH SCHOOL,20105,AK
DENA'INA SCHOOL,20109,AK
PETERSBURG HIGH SCHOOL,20110,AK
SEWARD JUNIOR SENIOR HIGH SCHOOL,20125,AK
SITKA HIGH SCHOOL,20130,AK
SOLDOTNA HIGH SCHOOL,20131,AK
COOK INLET ACADEMY,20132,AK
SUSITNA VALLEY HIGH SCHOOL,20136,AK
TOK SCHOOL,20138,AK
UNALASKA HIGH SCHOOL,20140,AK
TOGIAK SCHOOL,20143,AK
VALDEZ HIGH SCHOOL,20150,AK
WASILLA HIGH SCHOOL,20155,AK
WRANGELL HIGH SCHOOL,20160,AK
JAMES T HUTCHISON HIGH SCHOOL,20161,AK
SCAMMON BAY SCHOOL,20162,AK
